score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.8159722,1.278327,2304.0,144.0,2.0,9,0train,22,2,BNCI2014-001,MDM
0.8883102,1.278327,2304.0,144.0,2.0,9,1test,22,2,BNCI2014-001,MDM
0.8724923,1.3704492,2304.0,144.0,2.0,8,0train,22,2,BNCI2014-001,MDM
0.9521605,1.3704492,2304.0,144.0,2.0,8,1test,22,2,BNCI2014-001,MDM
0.74151236,1.3647202,2304.0,144.0,2.0,7,0train,22,2,BNCI2014-001,MDM
0.7123843,1.3647202,2304.0,144.0,2.0,7,1test,22,2,BNCI2014-001,MDM
0.7303241,1.3715792,2304.0,144.0,2.0,6,0train,22,2,BNCI2014-001,MDM
0.67611885,1.3715792,2304.0,144.0,2.0,6,1test,22,2,BNCI2014-001,MDM
0.6078318,1.3252234,2304.0,144.0,2.0,5,0train,22,2,BNCI2014-001,MDM
0.6550926,1.3252234,2304.0,144.0,2.0,5,1test,22,2,BNCI2014-001,MDM
0.77237654,1.3675644,2304.0,144.0,2.0,4,0train,22,2,BNCI2014-001,MDM
0.7490355,1.3675644,2304.0,144.0,2.0,4,1test,22,2,BNCI2014-001,MDM
0.8591821,1.3656031,2304.0,144.0,2.0,3,0train,22,2,BNCI2014-001,MDM
0.8478009,1.3656031,2304.0,144.0,2.0,3,1test,22,2,BNCI2014-001,MDM
0.53954476,1.3722519,2304.0,144.0,2.0,2,0train,22,2,BNCI2014-001,MDM
0.4697145,1.3722519,2304.0,144.0,2.0,2,1test,22,2,BNCI2014-001,MDM
0.7503858,1.3644538,2304.0,144.0,2.0,1,0train,22,2,BNCI2014-001,MDM
0.7808642,1.3644538,2304.0,144.0,2.0,1,1test,22,2,BNCI2014-001,MDM
0.7978395,1.5993358,2304.0,144.0,2.0,9,0train,22,2,BNCI2014-001,TS+SVM
0.7212577,1.5993358,2304.0,144.0,2.0,9,1test,22,2,BNCI2014-001,TS+SVM
0.9542824,1.7039838,2304.0,144.0,2.0,8,0train,22,2,BNCI2014-001,TS+SVM
0.9556327,1.7039838,2304.0,144.0,2.0,8,1test,22,2,BNCI2014-001,TS+SVM
0.630787,1.6557596,2304.0,144.0,2.0,7,0train,22,2,BNCI2014-001,TS+SVM
0.7424769,1.6557596,2304.0,144.0,2.0,7,1test,22,2,BNCI2014-001,TS+SVM
0.71257716,1.6488742,2304.0,144.0,2.0,6,0train,22,2,BNCI2014-001,TS+SVM
0.69656634,1.6488742,2304.0,144.0,2.0,6,1test,22,2,BNCI2014-001,TS+SVM
0.51022375,1.641499,2304.0,144.0,2.0,5,0train,22,2,BNCI2014-001,TS+SVM
0.7280093,1.641499,2304.0,144.0,2.0,5,1test,22,2,BNCI2014-001,TS+SVM
0.791088,1.6546242,2304.0,144.0,2.0,4,0train,22,2,BNCI2014-001,TS+SVM
0.7818287,1.6546242,2304.0,144.0,2.0,4,1test,22,2,BNCI2014-001,TS+SVM
0.9739583,1.6683165,2304.0,144.0,2.0,3,0train,22,2,BNCI2014-001,TS+SVM
0.9756944,1.6683165,2304.0,144.0,2.0,3,1test,22,2,BNCI2014-001,TS+SVM
0.5814043,1.6426322,2304.0,144.0,2.0,2,0train,22,2,BNCI2014-001,TS+SVM
0.53780866,1.6426322,2304.0,144.0,2.0,2,1test,22,2,BNCI2014-001,TS+SVM
0.9033565,1.6749508,2304.0,144.0,2.0,1,0train,22,2,BNCI2014-001,TS+SVM
0.91396606,1.6749508,2304.0,144.0,2.0,1,1test,22,2,BNCI2014-001,TS+SVM
0.77527004,0.6244184,2304.0,144.0,2.0,9,0train,22,2,BNCI2014-001,CSP+LDA
0.71026236,0.6244184,2304.0,144.0,2.0,9,1test,22,2,BNCI2014-001,CSP+LDA
0.98861885,0.57802624,2304.0,144.0,2.0,8,0train,22,2,BNCI2014-001,CSP+LDA
0.9797454,0.57802624,2304.0,144.0,2.0,8,1test,22,2,BNCI2014-001,CSP+LDA
0.6140046,0.5523707,2304.0,144.0,2.0,7,0train,22,2,BNCI2014-001,CSP+LDA
0.6691744,0.5523707,2304.0,144.0,2.0,7,1test,22,2,BNCI2014-001,CSP+LDA
0.7037037,0.553116,2304.0,144.0,2.0,6,0train,22,2,BNCI2014-001,CSP+LDA
0.63155866,0.553116,2304.0,144.0,2.0,6,1test,22,2,BNCI2014-001,CSP+LDA
0.52623457,0.5480537,2304.0,144.0,2.0,5,0train,22,2,BNCI2014-001,CSP+LDA
0.63676697,0.5480537,2304.0,144.0,2.0,5,1test,22,2,BNCI2014-001,CSP+LDA
0.74035496,0.5537987,2304.0,144.0,2.0,4,0train,22,2,BNCI2014-001,CSP+LDA
0.77642745,0.5537987,2304.0,144.0,2.0,4,1test,22,2,BNCI2014-001,CSP+LDA
0.9864969,0.548275,2304.0,144.0,2.0,3,0train,22,2,BNCI2014-001,CSP+LDA
0.9839892,0.548275,2304.0,144.0,2.0,3,1test,22,2,BNCI2014-001,CSP+LDA
0.58603394,0.5664259,2304.0,144.0,2.0,2,0train,22,2,BNCI2014-001,CSP+LDA
0.595679,0.5664259,2304.0,144.0,2.0,2,1test,22,2,BNCI2014-001,CSP+LDA
0.89660496,0.54790336,2304.0,144.0,2.0,1,0train,22,2,BNCI2014-001,CSP+LDA
0.9239969,0.54790336,2304.0,144.0,2.0,1,1test,22,2,BNCI2014-001,CSP+LDA
0.595,0.955404,5760.0,160.0,2.0,8,0train,3,5,BNCI2014-004,MDM
0.68,0.955404,5760.0,120.0,2.0,8,1train,3,5,BNCI2014-004,MDM
0.931875,0.955404,5760.0,160.0,2.0,8,2train,3,5,BNCI2014-004,MDM
0.933125,0.955404,5760.0,160.0,2.0,8,3test,3,5,BNCI2014-004,MDM
0.97046876,0.955404,5760.0,160.0,2.0,8,4test,3,5,BNCI2014-004,MDM
0.6622222,0.95618683,5780.0,120.0,2.0,5,0train,3,5,BNCI2014-004,MDM
0.8320408,0.95618683,5780.0,140.0,2.0,5,1train,3,5,BNCI2014-004,MDM
0.9540625,0.95618683,5780.0,160.0,2.0,5,2train,3,5,BNCI2014-004,MDM
0.9421875,0.95618683,5780.0,160.0,2.0,5,3test,3,5,BNCI2014-004,MDM
0.8334375,0.95618683,5780.0,160.0,2.0,5,4test,3,5,BNCI2014-004,MDM
0.94305557,0.9552495,5780.0,120.0,2.0,4,0train,3,5,BNCI2014-004,MDM
0.9281633,0.9552495,5780.0,140.0,2.0,4,1train,3,5,BNCI2014-004,MDM
1.0,0.9552495,5780.0,160.0,2.0,4,2train,3,5,BNCI2014-004,MDM
0.99859375,0.9552495,5780.0,160.0,2.0,4,3test,3,5,BNCI2014-004,MDM
0.9865625,0.9552495,5780.0,160.0,2.0,4,4test,3,5,BNCI2014-004,MDM
0.73138887,0.9652582,5800.0,120.0,2.0,9,0train,3,5,BNCI2014-004,MDM
0.6627778,0.9652582,5800.0,120.0,2.0,9,1train,3,5,BNCI2014-004,MDM
0.9059375,0.9652582,5800.0,160.0,2.0,9,2train,3,5,BNCI2014-004,MDM
0.9528125,0.9652582,5800.0,160.0,2.0,9,3test,3,5,BNCI2014-004,MDM
0.89234376,0.9652582,5800.0,160.0,2.0,9,4test,3,5,BNCI2014-004,MDM
0.63611114,0.9501099,5800.0,120.0,2.0,7,0train,3,5,BNCI2014-004,MDM
0.595,0.9501099,5800.0,120.0,2.0,7,1train,3,5,BNCI2014-004,MDM
0.87953126,0.9501099,5800.0,160.0,2.0,7,2train,3,5,BNCI2014-004,MDM
0.75875,0.9501099,5800.0,160.0,2.0,7,3test,3,5,BNCI2014-004,MDM
0.8389062,0.9501099,5800.0,160.0,2.0,7,4test,3,5,BNCI2014-004,MDM
0.8461111,0.95902073,5800.0,120.0,2.0,6,0train,3,5,BNCI2014-004,MDM
0.7783333,0.95902073,5800.0,120.0,2.0,6,1train,3,5,BNCI2014-004,MDM
0.84125,0.95902073,5800.0,160.0,2.0,6,2train,3,5,BNCI2014-004,MDM
0.91734374,0.95902073,5800.0,160.0,2.0,6,3test,3,5,BNCI2014-004,MDM
0.9503125,0.95902073,5800.0,160.0,2.0,6,4test,3,5,BNCI2014-004,MDM
0.6566667,0.9600813,5800.0,120.0,2.0,3,0train,3,5,BNCI2014-004,MDM
0.62777776,0.9600813,5800.0,120.0,2.0,3,1train,3,5,BNCI2014-004,MDM
0.5275,0.9600813,5800.0,160.0,2.0,3,2train,3,5,BNCI2014-004,MDM
0.591875,0.9600813,5800.0,160.0,2.0,3,3test,3,5,BNCI2014-004,MDM
0.57421875,0.9600813,5800.0,160.0,2.0,3,4test,3,5,BNCI2014-004,MDM
0.8625,0.95723814,5800.0,120.0,2.0,1,0train,3,5,BNCI2014-004,MDM
0.6969444,0.95723814,5800.0,120.0,2.0,1,1train,3,5,BNCI2014-004,MDM
0.846875,0.95723814,5800.0,160.0,2.0,1,2train,3,5,BNCI2014-004,MDM
0.8765625,0.95723814,5800.0,160.0,2.0,1,3test,3,5,BNCI2014-004,MDM
0.74328125,0.95723814,5800.0,160.0,2.0,1,4test,3,5,BNCI2014-004,MDM
0.70416665,0.99996144,5840.0,120.0,2.0,2,0train,3,5,BNCI2014-004,MDM
0.57222223,0.99996144,5840.0,120.0,2.0,2,1train,3,5,BNCI2014-004,MDM
0.61578125,0.99996144,5840.0,160.0,2.0,2,2train,3,5,BNCI2014-004,MDM
0.63166666,0.99996144,5840.0,120.0,2.0,2,3test,3,5,BNCI2014-004,MDM
0.5984375,0.99996144,5840.0,160.0,2.0,2,4test,3,5,BNCI2014-004,MDM
0.6184375,0.9228044,5760.0,160.0,2.0,8,0train,3,5,BNCI2014-004,CSP+LDA
0.67194444,0.9228044,5760.0,120.0,2.0,8,1train,3,5,BNCI2014-004,CSP+LDA
0.92515624,0.9228044,5760.0,160.0,2.0,8,2train,3,5,BNCI2014-004,CSP+LDA
0.9290625,0.9228044,5760.0,160.0,2.0,8,3test,3,5,BNCI2014-004,CSP+LDA
0.9715625,0.9228044,5760.0,160.0,2.0,8,4test,3,5,BNCI2014-004,CSP+LDA
0.64694446,0.9166987,5780.0,120.0,2.0,5,0train,3,5,BNCI2014-004,CSP+LDA
0.80387753,0.9166987,5780.0,140.0,2.0,5,1train,3,5,BNCI2014-004,CSP+LDA
0.94875,0.9166987,5780.0,160.0,2.0,5,2train,3,5,BNCI2014-004,CSP+LDA
0.938125,0.9166987,5780.0,160.0,2.0,5,3test,3,5,BNCI2014-004,CSP+LDA
0.8215625,0.9166987,5780.0,160.0,2.0,5,4test,3,5,BNCI2014-004,CSP+LDA
0.94555557,0.9022247,5780.0,120.0,2.0,4,0train,3,5,BNCI2014-004,CSP+LDA
0.93265307,0.9022247,5780.0,140.0,2.0,4,1train,3,5,BNCI2014-004,CSP+LDA
0.999375,0.9022247,5780.0,160.0,2.0,4,2train,3,5,BNCI2014-004,CSP+LDA
0.99640626,0.9022247,5780.0,160.0,2.0,4,3test,3,5,BNCI2014-004,CSP+LDA
0.9834375,0.9022247,5780.0,160.0,2.0,4,4test,3,5,BNCI2014-004,CSP+LDA
0.7316667,0.9100712,5800.0,120.0,2.0,9,0train,3,5,BNCI2014-004,CSP+LDA
0.6747222,0.9100712,5800.0,120.0,2.0,9,1train,3,5,BNCI2014-004,CSP+LDA
